Time_Seconds,Best_Fitness
20953.37,43627.0
20959.32,43627.0
20965.23,43627.0
20971.22,43627.0
20977.21,43627.0
20983.15,43627.0
20989.09,43627.0
20995.07,43627.0
21001.03,43627.0
21006.99,43627.0
21012.91,43627.0
21018.81,43627.0
21024.81,43627.0
21030.69,43627.0
21036.58,43627.0
21042.57,43627.0
21048.59,43627.0
21054.49,43627.0
21060.43,43627.0
21066.38,43627.0
21072.33,43627.0
21078.29,43627.0
21084.3,43627.0
21090.25,43627.0
21096.24,43627.0
21102.14,43627.0
21108.1,43627.0
21114.14,43627.0
21120.03,43627.0
21125.95,43627.0
21131.92,43627.0
21137.85,43627.0
21143.81,43627.0
21149.71,43627.0
21155.63,43627.0
21161.58,43627.0
21167.5,43627.0
21173.5,43627.0
21179.41,43627.0
21185.39,43627.0
21191.37,43627.0
21197.29,43624.0
21203.24,43624.0
21209.18,43624.0
21215.16,43624.0
21221.16,43624.0
21227.09,43624.0
21233.04,43624.0
21239.0,43624.0
21244.93,43624.0
21250.85,43624.0
21256.82,43624.0
21262.71,43624.0
21268.78,43624.0
21274.81,43624.0
21280.69,43624.0
21286.64,43624.0
21292.57,43624.0
21298.59,43624.0
21304.6,43624.0
21310.51,43624.0
21316.42,43624.0
21322.38,43624.0
21328.34,43624.0
21334.27,43624.0
21340.18,43624.0
21346.12,43624.0
21352.01,43624.0
21357.94,43624.0
21363.85,43624.0
21369.77,43624.0
21375.64,43624.0
21381.62,43624.0
21387.54,43624.0
